source_path,source_sha256,file_type,decision,public_path,risk_class,rationale
CITATION.cff,b5ec07c760592e71985887ae118196839c4b56c9c32964d001f92f9d1fc03e10,.cff,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
LICENSE_COMPATIBILITY_AUDIT.csv,04ac273fc360d8202b9510d8bb518e2ae0ff95ec463f6e9bcd83d91796f0b3db,.csv,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
LICENSE_DECISION_NOTE.md,179d9ee48b1be4541c143b95c7cc94d5a933ce554581c09d990549e1c354a7f7,.md,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
LICENSE_DRAFT.txt,28b1b04260d500cec993f8a405d95430001313a1106d64443a77323a17762cfc,.txt,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
LICENSE_RECOMMENDATION.md,c57073180f335176ae176a57b6eb19ddceeb73f8e4eac657337a02df5c040f92,.md,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
README.md,279723c2956d3b114d954fb46b3854da3c473c79215b80db93b4faa2c2f07915,.md,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
checksums/SHA256SUMS.txt,e2a9eb562a2a512e9e059209939af3c9fdf8a518ed34dbf32bde30da4d174bd1,.txt,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
documentation/CODE_RELEASE_CONTENTS.csv,248677d878bec4e2a934b983462236d4cfb1a9e39f8103d7deae989a815dbf53,.csv,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
documentation/CODE_RELEASE_METADATA_DRAFT.md,702cc859ce9608e4cfbda287acc4bd333a64bd8a8ac0466cdcfc6a5e3f4ff3c2,.md,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
documentation/CODE_RELEASE_README.md,be09be420afbf4762e91952480ae901bea4a994373236bcb153e4c1c93a5771d,.md,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
documentation/CODE_REUSE_README_v44d.md,83163a4000fa257311268b1c45aaa0d6a7f0032e12e442820b9c36343066a0ef,.md,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
documentation/LICENSE_DECISION_NOTE.md,7706076e686d1e4b51457f35cbde46a605bf767de37c79b8481cdb26a33c1016,.md,EXCLUDE,,superseded_or_mixed_scope_document,Not needed in minimal public code-only package; replaced by newly scoped documentation.
documentation/U1419_DEPTH_SCALE_DECISION.md,d21f1b5f7eac45a4968a6cc09634b8c7fd99a136aaffe608925c88358822f2e3,.md,EXCLUDE,,restricted_source_transcription_or_provenance,U1419 source/depth transcription excluded.
